,video_id,t0_3B_vanilla_title_summarized,title
0,yWYkoZKHLfg,YouTubers Clap at the Start of Their Videos,Why do YouTubers clap at the start of videos?
1,8UmsfXWzvEA,The Orkney Islands Have a huge surplus of renewable energy,The Islands With Too Much Power
2,sehyLDPeB6M,The Great Fire of London,Why 18th-Century Firefighters Let Some Buildings Burn
3,NUyXiiIGDTo,There's No Torpenhow Hill Marked On Any Official Map,"Hill Hill Hill Hill, debunked, debunked"
4,8Gk7EvCQGoo,Neurosurgeons Can Use Infrared and Electromagnetic Tracking to Show You Where You Are in the Brain,How Neurosurgeons Navigate Inside The Brain
5,a4N4yQB_B4c,Cape Reinga: Where Two Oceans Meet,"Where two oceans meet, debunked"
6,2F0V9MjrhXE,Diving World Champions Can Stay Underwater For One Or Two Hours,The Fishermen That Hold Their Breath For 10 Minutes
7,GFWsYJ0_KMI,The Multi-Axis Trainer,"Why NASA Spun Astronauts Around, But Doesn't Any More"
8,lyvylw5Lwx0,The Tree That Owns Itself,The other tree that owns itself
9,u9FVoDiuq6Q,Why London's Pavement Keeps Exploding,Why do London's manholes keep exploding?
10,2yWWFLI5kFU,Ogham: A Space That's Not a Space,"᚛ᚈᚑᚋ ᚄᚉᚑᚈᚈ᚜ and ᚛ᚑᚌᚐᚋ᚜"
11,DpfrGZJyKmo,Wing-Walking: The Most Dangerous Stunt,Wingwalking used to be a lot more dangerous
12,kHMNX3IXnvs,The Sourtoe Cocktail,The sourtoe cocktail has a human toe in it
13,cfSIC8jwbQs,The Dutch Water Authority's Bond is still paying interest,The centuries-old debt that's still paying interest
14,KGne-ZUZCg0,Play The Mind: Song Translations,Why Song Translations Usually Suck
15,cdPymLgfXSY,How To Use Touchscreen Paving in Britain,The Little-Known Patterns on British Streets
16,TGyHJ-xmcuc,Switzerland's Only country with enough nuclear fallout shelters,Fallout Shelters and Zurich's Water: Swiss Resilience
17,EiZU3BvqvP4,A Perpetual Motion Machine Doesn't Just Keep Going,"Wheels, Bombs, and Perpetual Motion Machines"
18,PBZ728jH7j0,The Arctic is a dangerous place for oil,"Cold Wars, Cruise Ships, and the Northwest Passage"
19,QnM2tVZr7Fs,The North Pole: Who First Made It To The North Pole?,No-One Knows Who Got To The North Pole First
20,pt2fSq46Pcw,Mountain Dew is Better for Your Teeth Than Coca-Cola,Why Mountain Dew Rots Your Teeth More Than Coca-Cola
21,UtQGYz4f3YQ,The World's Longest Lasting Battery,The Battery That's Lasted 176 Years
22,8-evKtoPN-8,The Urban Legend That Dialing 999 Will Charge Your Phone Battery,Calling The Police Doesn't Charge Your Phone Battery
23,QixlLU15CIc,The British Turnpike Trust,Turnpikes and Tolls: What if all major roads were private?
24,ML5TaNlwgeg,The Warmest Point in the UK,"The Hottest Place in Britain, and the BBC Theme Park"
26,d9Qnobvx_kM,The Difference Between Solar Time and Mean Time,The Equation of Time: Clocks Vs Sundials
27,mRQt_PMhBXY,The London to Ramsgate Crossing,The Level Crossing You Have To Power Yourself
28,ByUPFYxy5vw,The Difference Between Fantasy and Reality,Is Paris Syndrome A Real Thing?
29,XwpJ01nguoo,The London Necropolis Railway,The London Railway of the Dead
30,PHrWzF2VuAg,The Most Useful Piece of origami I Know Down Here,Origami In Space
31,yg67YXYedwo,The Mississippi River is the most important river in America,The Mississippi River Wants To Move
32,Ko51cynAjzY,The British Nuclear War is monumentally stupid,British Nuclear War from Beyond the Grave: The Letter of Last Resort
33,XS36ijvZOME,Why Wind Farms Aren't Always On and Rotating,Why Wind Farms Don't Always Turn When It's Windy
34,B29jqZWMLkM,Stage-Slap Someone!,How To (Appear To) Slap Someone Across The Face (On Stage)
35,FGxKQvdLrng,Stage Choking - The Best Way to Do It,How To (Appear To) Strangle Someone (On Stage)
36,SmOsTHaqFSU,Kings Cross: Platform 0,Platform 9 3/4 Is In The Wrong Place
37,SQ3g5gPKlDM,London's First fatal helicopter crash,Why Aren't There More Helicopter Crashes In London?
38,q3LuZeekVX4,The Royal Albert Hall,This is the most interesting roof in London.
39,QazsDS8TQ0w,"Soda Springs, Idaho",A geyser that shoots sparkling mineral water
40,6kolTgj7uQc,Funchal Airport: The Most Difficult Place in Europe to Land a Commercial Aircraft,Europe's toughest airport landing used to be a lot harder
41,swLyst02ZK4,The Shakey Bridge: A Suspension Bridge Over the River Lee,The bridge that must legally wobble
42,ELGWbY4xBDs,The Elie Chainwalk,"The Elie Chainwalk is safe, as long as you follow the signs"
43,hUyvk_hdMNs,The Ness of Brodgar,"I helped cover a 5,000-year-old monument with worn-out tires"
44,kZ1CZh85Ugs,"The Tauchgondel, the diving gondola",The diving gondola: a strange elevator to the ocean floor
45,suAC_PDP3Sk,Gruinard Island: The Story of World War 2,The Accidental Rush for Anthrax Island
46,AJ38l6DX4f8,Mother Shipton's Cave,England's oldest attraction turns teddy bears to stone
47,hr03xF08qoU,Iceland is not above the Arctic Circle,Is the most northern part of Iceland still there?
48,-fXmaeDMsh0,Old Sarum in Wiltshire,The Abandoned Hill With Two Members Of Parliament
49,Mw44wHG4KOc,The Moselle River is a Shape,The bridge that's in two countries at the same time
50,DpfrGZJyKmo,The World's Only Diagonal Wind Tunnel,The world's only wingsuit tunnel
51,zFiNmEWXPPM,The Wax Lake Outlet,The only bit of Louisiana's coast that isn't sinking
52,cfJOW2PtrGk,Tokyo is Built Around and Over Rivers,These tunnels stop part of Tokyo flooding
53,bOWse-Xm6Ao,The World's Last Play-For-Cash Arcade,The Last Play-For-Cash Fascination Parlor
54,pcVGqtmd2wM,"Peachtree City, Georgia has over 100 miles of golf cart paths",The city of golf carts
55,s6kNR8Mj0ZE,The Uffington White Horse,"I hit 3,000-year-old art with a hammer"
56,E4nZDSLdIiM,The Giant Remediation Project is the Right thing to do,"Making 200,000 tons of arsenic dust safe"
57,-DGXHMOhXAw,The Rotary Jail,The rotary jail had a slight problem
58,PB7HT3BZLzM,Nuclear Waste Dumped in St Louis,A nuclear waste dump you can walk on
59,KK3FQXObWEs,Thames Town - A Western-style town in Shanghai,The Fake-British Ghost Town In China: Thames Town
60,mCSUmwP02T8,The Most Dangerous stretch of water on Earth,"The Most Dangerous Stretch of Water in the World: The Strid at Bolton Abbey, Yorkshire"
61,m5dXWJi4pIA,Nayif-1 - A Small Satellite That Will Be Used in Classrooms for Teaching About Space,Inside A Satellite Clean Room
62,uV4Kz2ednjs,The World's Worst Nuclear Accident? Three bananas an hour,Radioactive Bananas in Chernobyl
63,vK8ykPmtRyg,The New Safe Confinement,Containing the Worst Nuclear Disaster in History: Chernobyl's New Confinement Structure